anilist_id,title_romaji,title_english,episodes,average_score,trending,genres,description,cover_url,start_date
154768,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,12.0,8.2,463,"Comedy, Ecchi, Romance, Slice of Life","The second season of Sono Bisque Doll wa Koi wo Suru.
When Marin Kitagawa and Wakana Gojo met, they grew close over their love for cosplay. Through interacting with classmates and making new cosplay friends, Marin and Wakana’s world keeps growing. New developments arise as Marin’s love for Wakana continues to be filled with endless excitement. In their ever-expanding world, Marin and Wakana’s story of cosplay and thrills continues!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154768-DHHvNd4MjV1p.jpg,07-06-2025
178754,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,11.0,7.8,420,"Action, Sci-Fi","The second season of Kaijuu 8-gou. 
Kafka must face new challenges, new Kaiju, and… a new Captain?!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178754-Dgrub8xgC03M.jpg,07-19-2025
181444,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,13.0,8.6,343,"Comedy, Drama, Romance","Chidori High is a boys’ school that takes in the dregs of society with the lowest grades. Next door stands Kikyo Girls’ High, where the wealthy, high-class families send their precious daughters. Chidori second-year Rintaro, who has a fierce face but a gentle heart, is helping at his family’s patisserie when he meets a girl named Kaoruko. The two hit it off right away…but this blissful peace is quickly disturbed when Rintaro discovers that Kaoruko is actually a student at Kikyo. Worse, she doesn’t seem to realize what a huge problem this really is! Will these two be able to forge a path for themselves, and sidestep the traps (metaphorical and literal) laid by their classmates?",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181444-Ut9DDUZdfHwg.jpg,07-06-2025
177689,Hikaru ga Shinda Natsu,The Summer Hikaru Died,12.0,8.0,289,"Horror, Mystery, Psychological, Supernatural, Thriller","Two best friends living in a rural Japanese village: Yoshiki and Hikaru. Growing up together, they were inseparable… until the day Hikaru came back from the mountains, and was no longer himself. “Something” has taken over Hikaru’s body, memories, feelings… and everything they know begins to unravel.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177689-d0mB5nYgdnhi.jpg,07-06-2025
185660,Dandadan 2nd Season,DAN DA DAN Season 2,12.0,8.2,227,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural","The second season of Dandadan. Okarun and Jiji have made a strange discovery, while Momo finds herself under attack! What mysterious encounters await them next?!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185660-uB8RUMBGovGr.jpg,07-04-2025
171046,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,Rascal Does Not Dream of Santa Claus,13.0,8.1,189,"Comedy, Mystery, Psychological, Romance, Supernatural","Sequel to the film Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai.
 After encountering various girls going through Puberty Syndrome, Sakuta Azusagawa's high school days have come to a close, and he is now a university student. He enrolls at a university in Kanazawa-hakkei alongside his girlfriend Mai Sakurajima, a nationally famed actress. Off campus, he stumbles upon an out-of-season miniskirt Santa. Precognitive dreams, an anonymous online singer, poltergeists buzzing on social media... A mysterious tale with enigmatic phenomenons surrounding girls with wavering hearts starts again. Puberty continues...",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx171046-9leqLiNuOqNu.png,07-05-2025
185407,Takopii no Genzai,Takopi's Original Sin,6.0,8.6,166,"Drama, Psychological, Sci-Fi","A Happy alien, Takopi, lands on Earth with one mission: to spread happiness! When he meets Shizuka, a lonely fourth grader, he vows to bring back her smile using his magical Happy Gadgets. But as he uncovers the pain in her life, Takopi learns that true happiness may require more than gadgets.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185407-7uzY4fA3hokP.jpg,06-28-2025
179885,"Yuusha Party wo Tsuihou Sareta Shiro Madoushi, S Rank Boukensha ni Hirowareru: Kono Shiro Madoushi ga Kikakugaisugiru",Scooped Up by an S-Rank Adventurer!,,6.2,161,"Action, Adventure, Fantasy","""We don’t need a useless white mage.”
Lloyd is a white mage who was unexpectedly banished from the hero’s party. As he was lost and uncertain, he happened to cross paths with an S-rank adventurer party in need of a white mage, so he joined them on their quest. Little did anyone know at the time that the hero’s party would fall apart and Lloyd would rise to fame.
This is a story about an unmatched support magic user, who believes himself to be ordinary, becoming an unstoppable adventurer.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179885-m1nu1QvnRmII.jpg,07-06-2025
137667,Guimi Zhi Zhu,Lord of Mysteries,,8.2,138,"Action, Drama, Fantasy, Mystery, Supernatural, Thriller","In a Victorian world of steam, dreadnoughts, and occult horrors, Zhou Mingrui awakens as Klein Moretti. He walks a razor’s edge between light and darkness, entangled with warring Churches. This is the legend of unlimited potential…and unspeakable danger.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx137667-zHFOF6qbpksP.jpg,06-28-2025
175914,Yofukashi no Uta Season 2,Call of the Night Season 2,12.0,8.0,124,"Comedy, Psychological, Romance, Slice of Life, Supernatural","The second season of Yofukashi no Uta.
Ko overcomes his confusion about becoming a vampire and decides to ""like"" Nazuna, while Nazuna resolves to make Ko ""fall in love"" with her. Without understanding what ""love"" even is, the two of them spend their nights together in a frenzy. Meanwhile, Detective Uguisu Anko is closing in with her plot to kill vampires, not just Nazuna. A vampire's weakness is ""anything they were attached to when they were human"" and so they all try to get rid of this weakness before it's too late. But, Nazuna has no memory of her human life. What is Nazuna's hidden past? Why did Anko start killing vampires? And what is the ""secret"" that Nazuna and Anko share? For Ko, Nazuna, Anko, a fun ""late night"" doesn't end here... a new ""night"" begins!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175914-VsbL90WzuqoM.jpg,07-04-2025
