anilist_id,episode_id,episode_title,thumbnail,duration
154768,154768013,"Episode 13 - Wakana Gojo, 15 Years Old, Teenager",https://img1.ak.crunchyroll.com/i/spire1-tmb/e809771179871502fb0aaaa30955c4031751721222_full.jpg,24.0
154768,154768014,Episode 14 - You Can Equip Boobs,https://img1.ak.crunchyroll.com/i/spire2-tmb/82b8722bd44f5c517ab7c83de1e77d4d1752332984_full.jpg,24.0
154768,154768015,Episode 15 - I Wuuuuv Slice-of-Life Scenes! ♡♡♡,https://img1.ak.crunchyroll.com/i/spire4-tmb/3c66b38db91428c43232e1573989e59e1752942173_full.jpg,24.0
154768,154768016,Episode 16 - Has All My Measurements Memorized,https://img1.ak.crunchyroll.com/i/spire3-tmb/78c4bf7b9c96ee9385cac8fcfbcee2511753545163_full.jpg,24.0
178754,178754000,Hoshina's Day Off,https://img1.ak.crunchyroll.com/i/spire2-tmb/6265e4a166ec9d3f8205307855f1c80e1751711380_full.jpg,
178754,178754013,Episode 13 - Kaiju Weapon,https://img1.ak.crunchyroll.com/i/spire3-tmb/5406d24ae05747d9f7a0da87ab5fff411752922098_full.jpg,
178754,178754014,Episode 14 - The Next Generation's Trial,https://img1.ak.crunchyroll.com/i/spire1-tmb/95d294e16fa9cb880ce74f8c017b0a4b1753523711_full.jpg,
185660,185660013,"Episode 13 - Like, This Is the Legend of the Giant Snake",https://img1.ak.crunchyroll.com/i/spire4-tmb/18e1fa11eebd18e47332034e44605a931751553922_full.jpg,24.0
185660,185660014,Episode 14 - The Evil Eye,https://img1.ak.crunchyroll.com/i/spire3-tmb/94726726b14192079456dc62491fc48e1752160129_full.jpg,24.0
185660,185660015,Episode 15 - You Won't Get Away with This!,https://img1.ak.crunchyroll.com/i/spire2-tmb/ed0cef3e966b0d5fd5e2d4112827fde91752765059_full.jpg,24.0
185660,185660016,"Episode 16 - That's, Like, Way Deadly",https://img1.ak.crunchyroll.com/i/spire4-tmb/0c09a38b4014fe2a51ab56f29a29dcc51753369763_full.jpg,24.0
171046,171046001,Episode 1 - Puberty Continues,https://img1.ak.crunchyroll.com/i/spire1-tmb/1944763ec892ad3dfa7a7782f126db451751728629_full.jpg,24.0
171046,171046002,Episode 2 - What Flavor is the Atmosphere?,https://img1.ak.crunchyroll.com/i/spire3-tmb/99f2530ab136c28ef80b27c7f34b917f1752332930_full.jpg,24.0
171046,171046003,Episode 3 - Idol Song,https://img1.ak.crunchyroll.com/i/spire3-tmb/8c5bf1a557bd48f2012a85b3a1fa60d51752942255_full.jpg,24.0
171046,171046004,Episode 4 - Heroism,https://img1.ak.crunchyroll.com/i/spire1-tmb/cfb4b8b27f3ca73eb9aa17c1885d01841753544454_full.jpg,24.0
185407,185407001,Episode 1 - To You in 2016,https://img1.ak.crunchyroll.com/i/spire2-tmb/1c7bbbf7f251567ece2b936e6a4dc5b31751029315_full.jpg,23.0
